ID,Source_ID,Relation_ID,Target_ID
1346-partof-802,1346,partof,802
802-haspart-1346,802,haspart,1346
1673-partof-1886,1673,partof,1886
1886-haspart-1673,1886,haspart,1673
1256-partof-523,1256,partof,523
523-haspart-1256,523,haspart,1256
1560-partof-73,1560,partof,73
73-haspart-1560,73,haspart,1560
1560-partof-678,1560,partof,678
678-haspart-1560,678,haspart,1560
525-instanceof-1925,525,instanceof,1925
1925-isa-525,1925,isa,525
525-instanceof-1924,525,instanceof,1924
1924-isa-525,1924,isa,525
1256-partof-1583,1256,partof,1583
1583-haspart-1256,1583,haspart,1256
1592-partof-1402,1592,partof,1402
1402-haspart-1592,1402,haspart,1592
1402-partof-2810,1402,partof,2810
2810-haspart-1402,2810,haspart,1402
1560-partof-1730,1560,partof,1730
1730-haspart-1560,1730,haspart,1560
1560-partof-1510,1560,partof,1510
1510-haspart-1560,1510,haspart,1560
1837-partof-3257,1837,partof,3257
3257-haspart-1837,3257,haspart,1837
1256-partof-1247,1256,partof,1247
1247-haspart-1256,1247,haspart,1256
1247-partof-18,1247,partof,18
18-haspart-1247,18,haspart,1247
1673-partof-981,1673,partof,981
981-haspart-1673,981,haspart,1673
1560-partof-1248,1560,partof,1248
1248-haspart-1560,1248,haspart,1560
1248-partof-3807,1248,partof,3807
3807-haspart-1248,3807,haspart,1248
1560-partof-1173,1560,partof,1173
1173-haspart-1560,1173,haspart,1560
1248-partof-1540,1248,partof,1540
1540-haspart-1248,1540,haspart,1248
1248-partof-17,1248,partof,17
17-haspart-1248,17,haspart,1248
1277-partof-1303,1277,partof,1303
1303-haspart-1277,1303,haspart,1277
1303-partof-1258,1303,partof,1258
1258-haspart-1303,1258,haspart,1303
1303-partof-2773,1303,partof,2773
2773-haspart-1303,2773,haspart,1303
1303-instanceof-577,1303,instanceof,577
577-isa-1303,577,isa,1303
1560-partof-123,1560,partof,123
123-haspart-1560,123,haspart,1560
674-partof-139,674,partof,139
139-haspart-674,139,haspart,674
1256-partof-1040,1256,partof,1040
1040-haspart-1256,1040,haspart,1256
1277-instanceof-2182,1277,instanceof,2182
2182-isa-1277,2182,isa,1277
1277-instanceof-2183,1277,instanceof,2183
2183-isa-1277,2183,isa,1277
1301-partof-980,1301,partof,980
980-haspart-1301,980,haspart,1301
1745-partof-2820,1745,partof,2820
2820-haspart-1745,2820,haspart,1745
1256-partof-1393,1256,partof,1393
1393-haspart-1256,1393,haspart,1256
1291-partof-534,1291,partof,534
534-haspart-1291,534,haspart,1291
1301-partof-3736,1301,partof,3736
3736-haspart-1301,3736,haspart,1301
674-partof-798,674,partof,798
798-haspart-674,798,haspart,674
1297-partof-1371,1297,partof,1371
1371-haspart-1297,1371,haspart,1297
1277-partof-2824,1277,partof,2824
2824-haspart-1277,2824,haspart,1277
1297-partof-3263,1297,partof,3263
3263-haspart-1297,3263,haspart,1297
1346-partof-3714,1346,partof,3714
3714-haspart-1346,3714,haspart,1346
674-partof-478,674,partof,478
478-haspart-674,478,haspart,674
1303-instanceof-2774,1303,instanceof,2774
2774-isa-1303,2774,isa,1303
1673-partof-446,1673,partof,446
446-haspart-1673,446,haspart,1673
1291-partof-3613,1291,partof,3613
3613-haspart-1291,3613,haspart,1291
1303-instanceof-3387,1303,instanceof,3387
3387-isa-1303,3387,isa,1303
1560-partof-1165,1560,partof,1165
1165-haspart-1560,1165,haspart,1560
1560-partof-674,1560,partof,674
674-haspart-1560,674,haspart,1560
1251-partof-1838,1251,partof,1838
1838-haspart-1251,1838,haspart,1251
1592-partof-796,1592,partof,796
796-haspart-1592,796,haspart,1592
1560-partof-1221,1560,partof,1221
1221-haspart-1560,1221,haspart,1560
1221-partof-1178,1221,partof,1178
1178-haspart-1221,1178,haspart,1221
674-partof-2674,674,partof,2674
2674-haspart-674,2674,haspart,674
804-partof-3716,804,partof,3716
3716-haspart-804,3716,haspart,804
674-partof-540,674,partof,540
540-haspart-674,540,haspart,674
1277-partof-1183,1277,partof,1183
1183-haspart-1277,1183,haspart,1277
1248-partof-1658,1248,partof,1658
1658-haspart-1248,1658,haspart,1248
198-instanceof-2834,198,instanceof,2834
2834-isa-198,2834,isa,198
198-instanceof-1837,198,instanceof,1837
1837-isa-198,1837,isa,198
198-instanceof-1222,198,instanceof,1222
1222-isa-198,1222,isa,198
447-partof-186,447,partof,186
186-haspart-447,186,haspart,447
1482-partof-172,1482,partof,172
172-haspart-1482,172,haspart,1482
763-instanceof-2613,763,instanceof,2613
2613-isa-763,2613,isa,763
1256-partof-1605,1256,partof,1605
1605-haspart-1256,1605,haspart,1256
1301-partof-2666,1301,partof,2666
2666-haspart-1301,2666,haspart,1301
1256-partof-1604,1256,partof,1604
1604-haspart-1256,1604,haspart,1256
2834-partof-797,2834,partof,797
797-haspart-2834,797,haspart,2834
1303-instanceof-1781,1303,instanceof,1781
1781-isa-1303,1781,isa,1303
1205-partof-443,1205,partof,443
443-haspart-1205,443,haspart,1205
1301-partof-1389,1301,partof,1389
1389-haspart-1301,1389,haspart,1301
1389-partof-2662,1389,partof,2662
2662-haspart-1389,2662,haspart,1389
674-partof-1205,674,partof,1205
1205-haspart-674,1205,haspart,674
674-partof-1380,674,partof,1380
1380-haspart-674,1380,haspart,674
1673-partof-431,1673,partof,431
431-haspart-1673,431,haspart,1673
674-partof-2293,674,partof,2293
2293-haspart-674,2293,haspart,674
2965-partof-72,2965,partof,72
72-haspart-2965,72,haspart,2965
72-instanceof-2812,72,instanceof,2812
2812-isa-72,2812,isa,72
3280-instanceof-2495,3280,instanceof,2495
2495-isa-3280,2495,isa,3280
763-instanceof-2614,763,instanceof,2614
2614-isa-763,2614,isa,763
674-partof-3280,674,partof,3280
3280-haspart-674,3280,haspart,674
1560-partof-2200,1560,partof,2200
2200-haspart-1560,2200,haspart,1560
1256-partof-1560,1256,partof,1560
1560-haspart-1256,1560,haspart,1256
822-narrower-3450,822,narrower,3450
3450-broader-822,3450,broader,822
822-narrower-531,822,narrower,531
531-broader-822,531,broader,822
1242-narrower-2924,1242,narrower,2924
2924-broader-1242,2924,broader,1242
1242-narrower-3451,1242,narrower,3451
3451-broader-1242,3451,broader,1242
1198-narrower-3453,1198,narrower,3453
3453-broader-1198,3453,broader,1198
1198-narrower-3452,1198,narrower,3452
3452-broader-1198,3452,broader,1198
911-instanceof-1349,911,instanceof,1349
1349-isa-911,1349,isa,911
911-instanceof-1603,911,instanceof,1603
1603-isa-911,1603,isa,911
1352-instanceof-3210,1352,instanceof,3210
3210-isa-1352,3210,isa,1352
3456-narrower-3215,3456,narrower,3215
3215-broader-3456,3215,broader,3456
3456-narrower-96,3456,narrower,96
96-broader-3456,96,broader,3456
2461-instanceof-2460,2461,instanceof,2460
2460-isa-2461,2460,isa,2461
2461-instanceof-2448,2461,instanceof,2448
2448-isa-2461,2448,isa,2461
2461-instanceof-522,2461,instanceof,522
522-isa-2461,522,isa,2461
