ID,Source_ID,Relation_ID,Target_ID
2461-instanceof-2009,2461,instanceof,2009
2009-isa-2461,2009,isa,2461
2273-instanceof-949,2273,instanceof,949
949-isa-2273,949,isa,2273
160-instanceof-2295,160,instanceof,2295
2295-isa-160,2295,isa,160
931-instanceof-347,931,instanceof,347
347-isa-931,347,isa,931
189-instanceof-36,189,instanceof,36
36-isa-189,36,isa,189
2549-instanceof-122,2549,instanceof,122
122-isa-2549,122,isa,2549
1586-instanceof-375,1586,instanceof,375
375-isa-1586,375,isa,1586
329-instanceof-1522,329,instanceof,1522
1522-isa-329,1522,isa,329
51-instanceof-1109,51,instanceof,1109
1109-isa-51,1109,isa,51
2345-instanceof-1136,2345,instanceof,1136
1136-isa-2345,1136,isa,2345
634-instanceof-2491,634,instanceof,2491
2491-isa-634,2491,isa,634
1282-instanceof-2557,1282,instanceof,2557
2557-isa-1282,2557,isa,1282
1181-instanceof-2372,1181,instanceof,2372
2372-isa-1181,2372,isa,1181
1380-instanceof-1049,1380,instanceof,1049
1049-isa-1380,1049,isa,1380
1380-instanceof-442,1380,instanceof,442
442-isa-1380,442,isa,1380
1970-instanceof-2189,1970,instanceof,2189
2189-isa-1970,2189,isa,1970
695-instanceof-1443,695,instanceof,1443
1443-isa-695,1443,isa,695
2139-instanceof-1490,2139,instanceof,1490
1490-isa-2139,1490,isa,2139
669-instanceof-2139,669,instanceof,2139
2139-isa-669,2139,isa,669
2139-instanceof-1491,2139,instanceof,1491
1491-isa-2139,1491,isa,2139
868-instanceof-2251,868,instanceof,2251
2251-isa-868,2251,isa,868
868-instanceof-399,868,instanceof,399
399-isa-868,399,isa,868
1040-instanceof-189,1040,instanceof,189
189-isa-1040,189,isa,1040
913-instanceof-2543,913,instanceof,2543
2543-isa-913,2543,isa,913
2220-instanceof-1519,2220,instanceof,1519
1519-isa-2220,1519,isa,2220
956-instanceof-2142,956,instanceof,2142
2142-isa-956,2142,isa,956
1409-instanceof-1819,1409,instanceof,1819
1819-isa-1409,1819,isa,1409
2363-instanceof-2501,2363,instanceof,2501
2501-isa-2363,2501,isa,2363
1350-instanceof-439,1350,instanceof,439
439-isa-1350,439,isa,1350
1156-instanceof-1108,1156,instanceof,1108
1108-isa-1156,1108,isa,1156
763-narrower-2614,763,narrower,2614
2614-broader-763,2614,broader,763
763-narrower-2613,763,narrower,2613
2613-broader-763,2613,broader,763
2516-instanceof-2515,2516,instanceof,2515
2515-isa-2516,2515,isa,2516
332-instanceof-1020,332,instanceof,1020
1020-isa-332,1020,isa,332
2095-instanceof-1282,2095,instanceof,1282
1282-isa-2095,1282,isa,2095
40-instanceof-2016,40,instanceof,2016
2016-isa-40,2016,isa,40
700-instanceof-413,700,instanceof,413
413-isa-700,413,isa,700
700-instanceof-465,700,instanceof,465
465-isa-700,465,isa,700
700-instanceof-412,700,instanceof,412
412-isa-700,412,isa,700
700-instanceof-415,700,instanceof,415
415-isa-700,415,isa,700
1350-instanceof-433,1350,instanceof,433
433-isa-1350,433,isa,1350
1350-instanceof-434,1350,instanceof,434
434-isa-1350,434,isa,1350
1479-instanceof-114,1479,instanceof,114
114-isa-1479,114,isa,1479
620-instanceof-929,620,instanceof,929
929-isa-620,929,isa,620
1100-instanceof-2146,1100,instanceof,2146
2146-isa-1100,2146,isa,1100
2512-instanceof-2513,2512,instanceof,2513
2513-isa-2512,2513,isa,2512
1857-instanceof-1581,1857,instanceof,1581
1581-isa-1857,1581,isa,1857
131-instanceof-2187,131,instanceof,2187
2187-isa-131,2187,isa,131
2130-instanceof-771,2130,instanceof,771
771-isa-2130,771,isa,2130
1061-instanceof-2552,1061,instanceof,2552
2552-isa-1061,2552,isa,1061
504-instanceof-1929,504,instanceof,1929
1929-isa-504,1929,isa,504
620-instanceof-1027,620,instanceof,1027
1027-isa-620,1027,isa,620
2130-instanceof-1288,2130,instanceof,1288
1288-isa-2130,1288,isa,2130
1665-instanceof-354,1665,instanceof,354
354-isa-1665,354,isa,1665
736-instanceof-4,736,instanceof,4
4-isa-736,4,isa,736
858-instanceof-2532,858,instanceof,2532
2532-isa-858,2532,isa,858
2136-instanceof-775,2136,instanceof,775
775-isa-2136,775,isa,2136
2136-instanceof-939,2136,instanceof,939
939-isa-2136,939,isa,2136
2138-instanceof-3206,2138,instanceof,3206
3206-isa-2138,3206,isa,2138
618-instanceof-992,618,instanceof,992
992-isa-618,992,isa,618
1846-instanceof-382,1846,instanceof,382
382-isa-1846,382,isa,1846
1101-instanceof-2561,1101,instanceof,2561
2561-isa-1101,2561,isa,1101
1507-instanceof-904,1507,instanceof,904
904-isa-1507,904,isa,1507
2345-instanceof-1190,2345,instanceof,1190
1190-isa-2345,1190,isa,2345
1453-instanceof-2503,1453,instanceof,2503
2503-isa-1453,2503,isa,1453
465-instanceof-2153,465,instanceof,2153
2153-isa-465,2153,isa,465
2638-instanceof-2639,2638,instanceof,2639
2639-isa-2638,2639,isa,2638
2138-instanceof-1037,2138,instanceof,1037
1037-isa-2138,1037,isa,2138
2138-instanceof-2038,2138,instanceof,2038
2038-isa-2138,2038,isa,2138
279-instanceof-2616,279,instanceof,2616
2616-isa-279,2616,isa,279
1040-instanceof-2648,1040,instanceof,2648
2648-isa-1040,2648,isa,1040
2653-instanceof-388,2653,instanceof,388
388-isa-2653,388,isa,2653
730-instanceof-2654,730,instanceof,2654
2654-isa-730,2654,isa,730
2657-instanceof-2649,2657,instanceof,2649
2649-isa-2657,2649,isa,2657
2686-instanceof-238,2686,instanceof,238
238-isa-2686,238,isa,2686
2686-instanceof-2349,2686,instanceof,2349
2349-isa-2686,2349,isa,2686
2684-instanceof-1502,2684,instanceof,1502
1502-isa-2684,1502,isa,2684
2684-instanceof-1331,2684,instanceof,1331
1331-isa-2684,1331,isa,2684
3549-instanceof-2764,3549,instanceof,2764
2764-isa-3549,2764,isa,3549
507-instanceof-2766,507,instanceof,2766
2766-isa-507,2766,isa,507
1224-instanceof-2778,1224,instanceof,2778
2778-isa-1224,2778,isa,1224
1205-instanceof-2777,1205,instanceof,2777
2777-isa-1205,2777,isa,1205
744-instanceof-2779,744,instanceof,2779
2779-isa-744,2779,isa,744
212-instanceof-140,212,instanceof,140
140-isa-212,140,isa,212
212-instanceof-2794,212,instanceof,2794
2794-isa-212,2794,isa,212
2785-instanceof-2829,2785,instanceof,2829
2829-isa-2785,2829,isa,2785
2785-instanceof-2830,2785,instanceof,2830
2830-isa-2785,2830,isa,2785
632-instanceof-3021,632,instanceof,3021
3021-isa-632,3021,isa,632
932-instanceof-3079,932,instanceof,3079
3079-isa-932,3079,isa,932
620-instanceof-3158,620,instanceof,3158
3158-isa-620,3158,isa,620
745-instanceof-3176,745,instanceof,3176
3176-isa-745,3176,isa,745
1181-instanceof-3156,1181,instanceof,3156
3156-isa-1181,3156,isa,1181
987-instanceof-3196,987,instanceof,3196
3196-isa-987,3196,isa,987
1945-instanceof-3205,1945,instanceof,3205
3205-isa-1945,3205,isa,1945
926-instanceof-1191,926,instanceof,1191
1191-isa-926,1191,isa,926
1352-instanceof-2772,1352,instanceof,2772
2772-isa-1352,2772,isa,1352
1594-instanceof-3285,1594,instanceof,3285
3285-isa-1594,3285,isa,1594
926-instanceof-3289,926,instanceof,3289
3289-isa-926,3289,isa,926
1665-instanceof-2396,1665,instanceof,2396
2396-isa-1665,2396,isa,1665
3311-instanceof-666,3311,instanceof,666
666-isa-3311,666,isa,3311
3311-instanceof-947,3311,instanceof,947
947-isa-3311,947,isa,3311
2461-instanceof-3313,2461,instanceof,3313
3313-isa-2461,3313,isa,2461
2790-instanceof-711,2790,instanceof,711
711-isa-2790,711,isa,2790
1323-instanceof-3349,1323,instanceof,3349
3349-isa-1323,3349,isa,1323
2819-instanceof-649,2819,instanceof,649
649-isa-2819,649,isa,2819
212-instanceof-429,212,instanceof,429
429-isa-212,429,isa,212
212-instanceof-449,212,instanceof,449
449-isa-212,449,isa,212
3448-narrower-86,3448,narrower,86
86-broader-3448,86,broader,3448
3448-narrower-940,3448,narrower,940
940-broader-3448,940,broader,3448
297-instanceof-1698,297,instanceof,1698
1698-isa-297,1698,isa,297
3447-narrower-3449,3447,narrower,3449
3449-broader-3447,3449,broader,3447
3447-narrower-1806,3447,narrower,1806
1806-broader-3447,1806,broader,3447
559-narrower-2414,559,narrower,2414
2414-broader-559,2414,broader,559
1759-narrower-2414,1759,narrower,2414
2414-broader-1759,2414,broader,1759
2383-narrower-1272,2383,narrower,1272
1272-broader-2383,1272,broader,2383
2383-narrower-2256,2383,narrower,2256
2256-broader-2383,2256,broader,2383
2249-narrower-2305,2249,narrower,2305
2305-broader-2249,2305,broader,2249
1212-narrower-1131,1212,narrower,1131
1131-broader-1212,1131,broader,1212
1212-hasform-2310,1212,hasform,2310
1212-narrower-1130,1212,narrower,1130
1130-broader-1212,1130,broader,1212
1246-narrower-2484,1246,narrower,2484
2484-broader-1246,2484,broader,1246
2457-narrower-2252,2457,narrower,2252
2252-broader-2457,2252,broader,2457
2249-narrower-2306,2249,narrower,2306
2306-broader-2249,2306,broader,2249
2308-narrower-2249,2308,narrower,2249
2249-broader-2308,2249,broader,2308
2209-resultsin-127,2209,resultsin,127
2493-narrower-792,2493,narrower,792
792-broader-2493,792,broader,2493
2493-narrower-2492,2493,narrower,2492
2492-broader-2493,2492,broader,2493
2141-narrower-906,2141,narrower,906
906-broader-2141,906,broader,2141
2124-narrower-1586,2124,narrower,1586
1586-broader-2124,1586,broader,2124
1207-narrower-563,1207,narrower,563
563-broader-1207,563,broader,1207
1207-narrower-564,1207,narrower,564
564-broader-1207,564,broader,1207
2154-requires-1921,2154,requires,1921
2147-narrower-1236,2147,narrower,1236
1236-broader-2147,1236,broader,2147
2147-narrower-1235,2147,narrower,1235
1235-broader-2147,1235,broader,2147
752-narrower-746,752,narrower,746
746-broader-752,746,broader,752
1057-narrower-2264,1057,narrower,2264
2264-broader-1057,2264,broader,1057
2615-narrower-2259,2615,narrower,2259
2259-broader-2615,2259,broader,2615
1402-producedby-635,1402,producedby,635
2129-narrower-635,2129,narrower,635
635-broader-2129,635,broader,2129
2514-narrower-1200,2514,narrower,1200
1200-broader-2514,1200,broader,2514
2514-narrower-1199,2514,narrower,1199
1199-broader-2514,1199,broader,2514
2103-narrower-1129,2103,narrower,1129
1129-broader-2103,1129,broader,2103
423-similar-485,423,similar,485
2096-narrower-2615,2096,narrower,2615
2615-broader-2096,2615,broader,2096
2615-narrower-634,2615,narrower,634
634-broader-2615,634,broader,2615
2314-narrower-2380,2314,narrower,2380
2380-broader-2314,2380,broader,2314
2144-narrower-954,2144,narrower,954
954-broader-2144,954,broader,2144
1553-narrower-2261,1553,narrower,2261
2261-broader-1553,2261,broader,1553
2104-narrower-1448,2104,narrower,1448
1448-broader-2104,1448,broader,2104
2104-narrower-1749,2104,narrower,1749
1749-broader-2104,1749,broader,2104
2124-narrower-1587,2124,narrower,1587
1587-broader-2124,1587,broader,2124
2385-narrower-2386,2385,narrower,2386
2386-broader-2385,2386,broader,2385
2385-narrower-437,2385,narrower,437
437-broader-2385,437,broader,2385
2456-narrower-1936,2456,narrower,1936
1936-broader-2456,1936,broader,2456
1826-resultsin-2215,1826,resultsin,2215
2118-narrower-639,2118,narrower,639
639-broader-2118,639,broader,2118
2477-narrower-2479,2477,narrower,2479
2479-broader-2477,2479,broader,2477
2477-narrower-2478,2477,narrower,2478
2478-broader-2477,2478,broader,2477
1484-narrower-2555,1484,narrower,2555
2555-broader-1484,2555,broader,1484
1057-narrower-2265,1057,narrower,2265
2265-broader-1057,2265,broader,1057
705-narrower-1102,705,narrower,1102
1102-broader-705,1102,broader,705
1395-narrower-2302,1395,narrower,2302
2302-broader-1395,2302,broader,1395
1433-narrower-353,1433,narrower,353
353-broader-1433,353,broader,1433
2391-narrower-1366,2391,narrower,1366
1366-broader-2391,1366,broader,2391
2392-narrower-1357,2392,narrower,1357
1357-broader-2392,1357,broader,2392
2392-narrower-1646,2392,narrower,1646
1646-broader-2392,1646,broader,2392
2574-narrower-2025,2574,narrower,2025
2025-broader-2574,2025,broader,2574
1906-resultsin-2229,1906,resultsin,2229
2140-narrower-1343,2140,narrower,1343
1343-broader-2140,1343,broader,2140
2279-narrower-1269,2279,narrower,1269
1269-broader-2279,1269,broader,2279
2144-narrower-849,2144,narrower,849
849-broader-2144,849,broader,2144
2308-narrower-1400,2308,narrower,1400
1400-broader-2308,1400,broader,2308
1554-narrower-406,1554,narrower,406
406-broader-1554,406,broader,1554
2106-narrower-1554,2106,narrower,1554
1554-broader-2106,1554,broader,2106
1554-narrower-76,1554,narrower,76
76-broader-1554,76,broader,1554
2100-narrower-279,2100,narrower,279
279-broader-2100,279,broader,2100
2117-narrower-923,2117,narrower,923
923-broader-2117,923,broader,2117
2117-narrower-1784,2117,narrower,1784
1784-broader-2117,1784,broader,2117
2381-narrower-1201,2381,narrower,1201
1201-broader-2381,1201,broader,2381
2450-narrower-1443,2450,narrower,1443
1443-broader-2450,1443,broader,2450
1685-narrower-2093,1685,narrower,2093
2093-broader-1685,2093,broader,1685
2107-narrower-123,2107,narrower,123
123-broader-2107,123,broader,2107
2114-narrower-1251,2114,narrower,1251
1251-broader-2114,1251,broader,2114
2387-narrower-1055,2387,narrower,1055
1055-broader-2387,1055,broader,2387
2387-narrower-1327,2387,narrower,1327
1327-broader-2387,1327,broader,2387
1657-similar-1725,1657,similar,1725
1502-narrower-2476,1502,narrower,2476
2476-broader-1502,2476,broader,1502
2128-narrower-72,2128,narrower,72
72-broader-2128,72,broader,2128
2109-narrower-1419,2109,narrower,1419
1419-broader-2109,1419,broader,2109
2131-narrower-1919,2131,narrower,1919
1919-broader-2131,1919,broader,2131
2575-narrower-734,2575,narrower,734
734-broader-2575,734,broader,2575
244-similar-2182,244,similar,2182
2381-narrower-1040,2381,narrower,1040
1040-broader-2381,1040,broader,2381
2107-narrower-1040,2107,narrower,1040
1040-broader-2107,1040,broader,2107
2574-narrower-832,2574,narrower,832
832-broader-2574,832,broader,2574
1495-resultsin-2192,1495,resultsin,2192
2382-narrower-837,2382,narrower,837
837-broader-2382,837,broader,2382
1588-narrower-1445,1588,narrower,1445
1445-broader-1588,1445,broader,1588
2300-narrower-1425,2300,narrower,1425
1425-broader-2300,1425,broader,2300
2382-narrower-1425,2382,narrower,1425
1425-broader-2382,1425,broader,2382
3457-narrower-330,3457,narrower,330
330-broader-3457,330,broader,3457
3457-narrower-331,3457,narrower,331
331-broader-3457,331,broader,3457
2137-narrower-824,2137,narrower,824
824-broader-2137,824,broader,2137
2065-similar-1443,2065,similar,1443
2381-narrower-580,2381,narrower,580
580-broader-2381,580,broader,2381
2101-narrower-1625,2101,narrower,1625
1625-broader-2101,1625,broader,2101
2101-narrower-1494,2101,narrower,1494
1494-broader-2101,1494,broader,2101
126-producedby-125,126,producedby,125
2458-narrower-126,2458,narrower,126
126-broader-2458,126,broader,2458
2017-instanceof-696,2017,instanceof,696
696-isa-2017,696,isa,2017
680-narrower-2558,680,narrower,2558
2558-broader-680,2558,broader,680
2120-narrower-1389,2120,narrower,1389
1389-broader-2120,1389,broader,2120
2269-narrower-870,2269,narrower,870
870-broader-2269,870,broader,2269
2103-narrower-1847,2103,narrower,1847
1847-broader-2103,1847,broader,2103
1519-narrower-2142,1519,narrower,2142
2142-broader-1519,2142,broader,1519
1262-narrower-1760,1262,narrower,1760
1760-broader-1262,1760,broader,1262
1760-narrower-2417,1760,narrower,2417
2417-broader-1760,2417,broader,1760
1760-narrower-2416,1760,narrower,2416
2416-broader-1760,2416,broader,1760
1263-narrower-1761,1263,narrower,1761
1761-broader-1263,1761,broader,1263
427-narrower-1760,427,narrower,1760
1760-broader-427,1760,broader,427
1213-narrower-2111,1213,narrower,2111
2111-broader-1213,2111,broader,1213
1209-hasform-2301,1209,hasform,2301
405-narrower-1758,405,narrower,1758
1758-broader-405,1758,broader,405
1758-narrower-2418,1758,narrower,2418
2418-broader-1758,2418,broader,1758
1263-narrower-1758,1263,narrower,1758
1758-broader-1263,1758,broader,1263
1758-narrower-2419,1758,narrower,2419
2419-broader-1758,2419,broader,1758
2129-narrower-1402,2129,narrower,1402
1402-broader-2129,1402,broader,2129
1416-resultsin-1649,1416,resultsin,1649
2009-narrower-2481,2009,narrower,2481
2481-broader-2009,2481,broader,2009
1761-narrower-2420,1761,narrower,2420
2420-broader-1761,2420,broader,1761
1761-narrower-2421,1761,narrower,2421
2421-broader-1761,2421,broader,1761
427-narrower-1761,427,narrower,1761
1761-broader-427,1761,broader,427
1985-narrower-2173,1985,narrower,2173
2173-broader-1985,2173,broader,1985
1213-hasform-2312,1213,hasform,2312
203-narrower-2163,203,narrower,2163
2163-broader-203,2163,broader,203
203-narrower-2164,203,narrower,2164
2164-broader-203,2164,broader,203
1496-narrower-2177,1496,narrower,2177
2177-broader-1496,2177,broader,1496
2105-narrower-962,2105,narrower,962
962-broader-2105,962,broader,2105
2143-narrower-711,2143,narrower,711
711-broader-2143,711,broader,2143
2143-narrower-1203,2143,narrower,1203
1203-broader-2143,1203,broader,2143
2125-narrower-668,2125,narrower,668
668-broader-2125,668,broader,2125
2127-narrower-763,2127,narrower,763
763-broader-2127,763,broader,2127
447-partof-498,447,partof,498
498-haspart-447,498,haspart,447
2268-narrower-1499,2268,narrower,1499
1499-broader-2268,1499,broader,2268
2457-narrower-667,2457,narrower,667
667-broader-2457,667,broader,2457
2108-narrower-658,2108,narrower,658
658-broader-2108,658,broader,2108
2280-narrower-1392,2280,narrower,1392
1392-broader-2280,1392,broader,2280
2280-narrower-267,2280,narrower,267
267-broader-2280,267,broader,2280
2118-narrower-614,2118,narrower,614
614-broader-2118,614,broader,2118
1229-narrower-2112,1229,narrower,2112
2112-broader-1229,2112,broader,1229
962-narrower-2471,962,narrower,2471
2471-broader-962,2471,broader,962
2556-narrower-1484,2556,narrower,1484
1484-broader-2556,1484,broader,2556
2551-narrower-1484,2551,narrower,1484
1484-broader-2551,1484,broader,2551
1337-narrower-2487,1337,narrower,2487
2487-broader-1337,2487,broader,1337
2141-narrower-1803,2141,narrower,1803
1803-broader-2141,1803,broader,2141
2098-narrower-1297,2098,narrower,1297
1297-broader-2098,1297,broader,2098
2098-narrower-1301,2098,narrower,1301
1301-broader-2098,1301,broader,2098
2450-narrower-2098,2450,narrower,2098
2098-broader-2450,2098,broader,2450
2455-narrower-2374,2455,narrower,2374
2374-broader-2455,2374,broader,2455
2455-narrower-1920,2455,narrower,1920
1920-broader-2455,1920,broader,2455
2112-narrower-566,2112,narrower,566
566-broader-2112,566,broader,2112
2384-narrower-2317,2384,narrower,2317
2317-broader-2384,2317,broader,2384
2384-narrower-1643,2384,narrower,1643
1643-broader-2384,1643,broader,2384
1215-narrower-2304,1215,narrower,2304
2304-broader-1215,2304,broader,1215
1411-resultsin-215,1411,resultsin,215
1801-narrower-1357,1801,narrower,1357
1357-broader-1801,1357,broader,1801
2224-transitiveof-2004,2224,transitiveof,2004
2004-intransitiveof-2224,2004,intransitiveof,2224
323-narrower-2095,323,narrower,2095
2095-broader-323,2095,broader,323
2099-narrower-1801,2099,narrower,1801
1801-broader-2099,1801,broader,2099
1801-narrower-1620,1801,narrower,1620
1620-broader-1801,1620,broader,1801
2486-narrower-602,2486,narrower,602
602-broader-2486,602,broader,2486
1387-narrower-2212,1387,narrower,2212
2212-broader-1387,2212,broader,1387
1432-narrower-2155,1432,narrower,2155
2155-broader-1432,2155,broader,1432
2269-narrower-210,2269,narrower,210
210-broader-2269,210,broader,2269
2131-narrower-625,2131,narrower,625
625-broader-2131,625,broader,2131
1056-narrower-2266,1056,narrower,2266
2266-broader-1056,2266,broader,1056
1056-narrower-2267,1056,narrower,2267
2267-broader-1056,2267,broader,1056
2272-narrower-1286,2272,narrower,1286
1286-broader-2272,1286,broader,2272
2132-narrower-341,2132,narrower,341
341-broader-2132,341,broader,2132
1128-narrower-1998,1128,narrower,1998
1998-broader-1128,1998,broader,1128
2121-narrower-1277,2121,narrower,1277
1277-broader-2121,1277,broader,2121
2096-narrower-619,2096,narrower,619
619-broader-2096,619,broader,2096
2271-narrower-1415,2271,narrower,1415
1415-broader-2271,1415,broader,2271
2132-narrower-20,2132,narrower,20
20-broader-2132,20,broader,2132
2146-narrower-991,2146,narrower,991
991-broader-2146,991,broader,2146
2112-narrower-565,2112,narrower,565
565-broader-2112,565,broader,2112
227-instanceof-2347,227,instanceof,2347
2347-isa-227,2347,isa,227
2146-narrower-1962,2146,narrower,1962
1962-broader-2146,1962,broader,2146
2100-narrower-769,2100,narrower,769
769-broader-2100,769,broader,2100
2175-narrower-2171,2175,narrower,2171
2171-broader-2175,2171,broader,2175
1272-narrower-2175,1272,narrower,2175
2175-broader-1272,2175,broader,1272
2175-narrower-2170,2175,narrower,2170
2170-broader-2175,2170,broader,2175
2092-narrower-2474,2092,narrower,2474
2474-broader-2092,2474,broader,2092
