ID,Name,Description,Media_Type,Download_URL
ALE1975,ALE1975.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-1075-2A0A-629D-0/ALE1975.pdf
Alpher1999,Alpher1999.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-D9D6-7A77-ABD0-0/Alpher1999.pdf
Ardila2007,Ardila2007.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-DBE4-C639-16ED-0/Ardila2007.pdf
Backstrom1992,Backstrom1992.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-7024-94E9-3662-0/Backstrom1992.pdf
Bakstrom1992,Bakstrom1992.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-10D7-907D-55FE-0/Bakstrom1992.pdf
Beaufils2015,Beaufils2015.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-D39A-50FB-EF52-0/Beaufils2015.pdf
Bender1971,Bender1971.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-5FFB-17AB-9DF7-0/Bender1971.pdf
Benedict1976,Benedict1976.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-3348-2E93-56EC-0/Benedict1976.pdf
BirketSmith1928,BirketSmith1928.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-C498-3040-D644-0/BirketSmith1928.pdf
Borin2012,Borin2012.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-6727-D480-0CFA-0/Borin2012.pdf
Bowern2008,Bowern2008.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-E2BF-10CA-4D98-0/Bowern2008.pdf
Bowern2012,Bowern2012.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-3623-2679-3CA7-0/Bowern2012.pdf
Brinton1891,Brinton1891.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-DF06-814E-76E4-0/Brinton1891.pdf
Bromley1967,Bromley1967.pdf,,application/pdf,https://cdstar.eva.mpg.de/bitstreams/EAEA0-4876-30F5-783B-0/Bromley1967.pdf
